explained_variance,total_timesteps,fps,policy_entropy,nupdates,value_loss,ep_reward_mean,ep_len_mean
-4.898939609527588,444500,692,2.067018985748291,88900,0.00026453114696778357,-2.33,731.9
-21.06612205505371,445000,692,2.0590081214904785,89000,0.0009713357430882752,-2.33,731.9
-22.27903175354004,445500,692,2.070605754852295,89100,0.0002891521144192666,-2.29,732.45
0.3644200563430786,446000,693,2.074772357940674,89200,0.17699965834617615,-2.28,733.35
-1.7564237117767334,446500,693,2.0570521354675293,89300,0.0008223677286878228,-2.21,732.65
0.757687047123909,447000,693,2.0592312812805176,89400,1.0652246601239312e-05,-2.21,732.65
-1.6756365299224854,447500,693,2.067690134048462,89500,5.447511648526415e-05,-2.19,734.04
-30.697317123413086,448000,693,2.0600242614746094,89600,4.731684020953253e-05,-2.22,728.89
-0.25866925716400146,448500,694,2.0713751316070557,89700,2.2533966330229305e-05,-2.14,727.9
-3.061074733734131,449000,694,2.064678907394409,89800,0.0026903243269771338,-2.14,727.9
0.6655045449733734,449500,694,2.0757875442504883,89900,2.8908438252983615e-05,-2.13,731.04
-10140.7470703125,450000,695,2.067319393157959,90000,0.057898957282304764,-2.13,731.04
-69.25918579101562,450500,695,2.034900665283203,90100,0.00027535768458619714,-2.12,732.66
-28.11610984802246,451000,695,2.072338342666626,90200,0.000489694532006979,-2.11,732.14
-0.9029291868209839,451500,695,2.055241346359253,90300,0.00021649587142746896,-2.11,732.14
-14.477252006530762,452000,695,2.0386860370635986,90400,0.00018566983635537326,-2.16,727.45
-8.438684463500977,452500,696,2.0720996856689453,90500,0.000187007783097215,-2.09,730.01
0.06160992383956909,453000,696,2.068660020828247,90600,0.00012622252688743174,-2.09,730.01
-1.5609712600708008,453500,696,2.0782217979431152,90700,3.9414480852428824e-05,-2.08,728.44
0.4749983549118042,454000,696,2.006404399871826,90800,0.00020573160145431757,-2.14,727.29
-29.287954330444336,454500,696,2.054856300354004,90900,0.0009660845389589667,-2.1,724.84
-22.914213180541992,455000,697,2.0654044151306152,91000,0.0007161854882724583,-2.1,724.84
-790.202392578125,455500,697,2.0541646480560303,91100,0.005412881262600422,-2.11,724.64
-9.376493453979492,456000,697,2.076840400695801,91200,0.00025616487255319953,-2.11,724.64
-4.118758201599121,456500,697,2.056755542755127,91300,0.0002330122224520892,-2.12,726.75
0.8625272363424301,457000,698,2.0553574562072754,91400,3.827416549029294e-06,-2.06,728.89
-16.269540786743164,457500,698,2.0566611289978027,91500,0.001123292837291956,-2.07,727.4
0.651863157749176,458000,698,2.0702977180480957,91600,7.631756307091564e-05,-2.07,727.4
-0.5612291097640991,458500,698,2.0742383003234863,91700,0.0002123755111824721,-2.05,729.35
-3.625642776489258,459000,698,2.0753767490386963,91800,0.0002677013981156051,-2.06,728.93
-3.5682783126831055,459500,699,2.0784873962402344,91900,0.0009625795064494014,-2.05,730.68
0.8500844240188599,460000,699,2.0707480907440186,92000,0.00015070472727529705,-2.05,730.68
-41.75837326049805,460500,699,2.0755743980407715,92100,7.075983012327924e-05,-2.04,732.06
-1.5447108745574951,461000,699,2.065406322479248,92200,0.00018897897098213434,-2.01,734.71
0.48139381408691406,461500,700,2.0578181743621826,92300,5.4123160225572065e-05,-2.01,734.71
0.4046732783317566,462000,700,2.0704636573791504,92400,0.00012795068323612213,-2.02,733.48
-0.5843769311904907,462500,700,2.063997745513916,92500,0.00015049043577164412,-2.05,731.55
-56.71407699584961,463000,700,2.070061445236206,92600,0.0024266140535473824,-2.03,733.2
-0.19901633262634277,463500,701,2.0493812561035156,92700,5.021262404625304e-05,-2.03,733.2
-77.6323471069336,464000,701,2.0714945793151855,92800,0.0008586838957853615,-1.95,734.54
-23.40934944152832,464500,701,2.072301149368286,92900,0.00019514291489031166,-1.96,737.21
0.3480904698371887,465000,701,2.0261073112487793,93000,0.00011034319322789088,-1.96,737.21
-465.76849365234375,465500,702,2.0676181316375732,93100,0.0005812938907183707,-1.95,736.62
