EpLenMean,EpRewMean,TimeElapsed,EpThisIter,loss_vf_loss,EpisodesSoFar,TimestepsSoFar,loss_ent,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_kl
648.65,-2.7,311.6621971130371,6,0.01838298,604,397312,1.3402896,0.0,0.8515542894601822,-0.019582927,0.007519095
647.68,-2.66,338.3131959438324,6,0.01917899,610,401408,1.3077126,0.0,0.8882760778069496,-0.017462488,0.0056402404
652.61,-2.76,340.70719623565674,6,0.021178294,616,405504,1.3510792,0.0,0.8784253820776939,-0.020246726,0.007157407
644.25,-2.91,342.90720081329346,8,0.019364595,624,409600,1.3458799,0.0,0.8153408616781235,-0.01865681,0.007255049
648.6,-2.94,345.3202006816864,5,0.02277441,629,413696,1.3543272,0.0,0.8397472500801086,-0.019353226,0.006815105
644.98,-2.93,347.8491995334625,7,0.022425875,636,417792,1.3440688,0.0,0.8749209046363831,-0.018323883,0.0076913214
647.3,-2.97,350.4559450149536,7,0.018145125,643,421888,1.3427929,0.0,0.8216489255428314,-0.016993077,0.005405415
646.84,-3.09,353.21394324302673,6,0.019365264,649,425984,1.312978,0.0,0.861557126045227,-0.017607365,0.007507139
649.53,-3.19,355.8799464702606,6,0.027110713,655,430080,1.3060191,0.0,0.7967867255210876,-0.015741346,0.0061846334
651.36,-2.94,358.41394877433777,7,0.01931488,662,434176,1.2265942,0.0,0.883433997631073,-0.018996842,0.0052415663
646.48,-3.12,360.6520040035248,7,0.024676094,669,438272,1.3417665,0.0,0.8029486835002899,-0.019012408,0.006985186
635.85,-3.03,362.9530026912689,7,0.025579566,676,442368,1.2759182,0.0,0.853973388671875,-0.016543198,0.006901295
633.97,-2.98,365.29500365257263,7,0.020041328,683,446464,1.2718002,0.0,0.8665189743041992,-0.015638368,0.005465012
635.62,-3.04,367.6690003871918,5,0.021618038,688,450560,1.2878641,0.0,0.855874702334404,-0.017013436,0.00704723
632.31,-3.01,369.99770855903625,7,0.01772273,695,454656,1.288911,0.0,0.8841226771473885,-0.01823559,0.005916723
631.51,-3.11,372.3057076931,6,0.02483997,701,458752,1.2940048,0.0,0.7882039844989777,-0.020231398,0.006692438
623.66,-3.11,374.7623987197876,8,0.019170549,709,462848,1.2509254,0.0,0.844790056347847,-0.019558184,0.005784311
623.6,-3.1,377.4083971977234,6,0.02121541,715,466944,1.2133106,0.0,0.857836052775383,-0.017473191,0.005417212
625.17,-2.93,379.9879341125488,6,0.021987826,721,471040,1.2434564,0.0,0.8880520910024643,-0.01718033,0.005827048
623.24,-2.77,382.4149343967438,7,0.02796153,728,475136,1.2723128,0.0,0.8605466485023499,-0.016262647,0.0058769
626.03,-2.8,384.46293473243713,6,0.030812245,734,479232,1.2910597,0.0,0.8122998923063278,-0.016521651,0.0055154646
633.49,-2.79,386.8179337978363,6,0.022847354,740,483328,1.2450795,0.0,0.8267868161201477,-0.016384706,0.0059803613
623.75,-2.81,388.9419369697571,8,0.02081036,748,487424,1.2713398,0.0,0.8283507227897644,-0.01939637,0.0064535188
617.94,-2.91,391.07393622398376,7,0.021372825,755,491520,1.238757,0.0,0.8186361789703369,-0.018659703,0.0068229567
616.9,-2.9,393.6429371833801,6,0.019718762,761,495616,1.2132831,0.0,0.8663283437490463,-0.01688028,0.00667236
615.26,-3.01,395.7389359474182,7,0.022292867,768,499712,1.2018497,0.0,0.8460761904716492,-0.017629161,0.0059400694
616.77,-3.05,426.5622148513794,7,0.02127842,775,503808,1.2118953,0.0,0.8659962713718414,-0.019264773,0.0057527074
622.66,-2.94,429.44952845573425,6,0.024723193,781,507904,1.1522567,0.0,0.8804032802581787,-0.017722262,0.004920136
619.45,-2.91,432.0979268550873,7,0.022848023,788,512000,1.1442996,0.0,0.818016842007637,-0.017483473,0.0059576514
616.69,-2.91,434.6064157485962,7,0.02437087,795,516096,1.1690716,0.0,0.8819741010665894,-0.018248495,0.005940486
606.39,-2.74,437.21042346954346,7,0.02419576,802,520192,1.0949799,0.0,0.8902945294976234,-0.017695809,0.0052846037
609.56,-2.7,439.5101058483124,7,0.02277146,809,524288,1.1131953,0.0,0.8642142862081528,-0.019922383,0.005862375
608.53,-2.75,441.9670252799988,7,0.022964487,816,528384,1.1300843,0.0,0.8770473152399063,-0.016650613,0.00437579
612.75,-2.98,444.0900249481201,6,0.02069361,822,532480,1.1987001,0.0,0.7512621730566025,-0.021766646,0.0068845088
608.91,-2.96,446.53702425956726,7,0.019075278,829,536576,1.0932454,0.0,0.8264411240816116,-0.020225711,0.005798284
